Index,Marka Kodu,Tip Kodu,Marka Adı,Tip Adı
1,3,143,ALFA ROMEO,147 1.6 3 KAPI PROGRESSION
2,3,144,ALFA ROMEO,147 1.6 3 KAPI DISTINCTIVE
3,3,145,ALFA ROMEO,147 1.6 5 KAPI PROGRESSION
4,3,146,ALFA ROMEO,147 1.6 5 KAPI DISTINCTIVE
5,3,147,ALFA ROMEO,147 2.0 3 KAPI SELESPEED DISTINCTIVE
6,3,149,ALFA ROMEO,147 2.0 5 KAPI SELESPEED DISTINCTIVE
7,3,150,ALFA ROMEO,147 2.0 3 KAPI DISTINCTIVE
8,3,153,ALFA ROMEO,156 1.6 TS DISTINCTIVE
9,3,157,ALFA ROMEO,166 2.0 TS DISTINCTIVE
10,3,159,ALFA ROMEO,GT 2.0 JTS DISTINCTIVE
11,3,161,ALFA ROMEO,GT 2.0 JTS DISTINCTIVE SELESPEED
12,3,162,ALFA ROMEO,159 1.9 JTS PROGRESSION
13,3,163,ALFA ROMEO,159 1.9 JTD PROGRESSION
14,3,164,ALFA ROMEO,159 1.9 JTS DISTINCTIVE
15,3,165,ALFA ROMEO,159 1.9 JTD DISTINCTIVE
16,3,166,ALFA ROMEO,159 3.2 V6 4x4 DISTINCTIVE
17,3,167,ALFA ROMEO,159 1.9 JTD PROGRESSION OV
18,3,168,ALFA ROMEO,159 1.9 JTD DISTINCTIVE OV
19,3,169,ALFA ROMEO,BRERA 2.2 JTS
20,3,170,ALFA ROMEO,BRERA 2.2 JTS SKY WINDOW
21,3,171,ALFA ROMEO,BRERA 2.4 JTD
22,3,172,ALFA ROMEO,BRERA 2.4 JTD SKY WINDOW
23,3,173,ALFA ROMEO,BRERA 3.2 V6 Q4
24,3,174,ALFA ROMEO,BRERA 3.2 V6 Q4 SKY WINDOW
25,3,175,ALFA ROMEO,GT 1.9 GTD BLACKLINE
26,3,176,ALFA ROMEO,147 1.6 5 KAPI PROGRESSION (105)
27,3,177,ALFA ROMEO,147 1.6 3 KAPI PROGRESSION (105)
28,3,178,ALFA ROMEO,147 1.6 5 COLLEIZONE (120)
29,3,179,ALFA ROMEO,147 1.6 5 KAPI BLACKLINE (120)
30,3,180,ALFA ROMEO,147 2.0 5 KAPI SELESPEED BLACKLINE
31,3,181,ALFA ROMEO,147 1.6 5 KAPI DISTINCTIVE (105)
32,3,182,ALFA ROMEO,159 1.9 JTD PROGRESSION Q-TRONIC
33,3,183,ALFA ROMEO,159 1.9 JTD DISTINCTIVE Q-TRONIC
34,3,184,ALFA ROMEO,SPIDER 2.2 JTS
35,3,185,ALFA ROMEO,SPIDER 3.2 V6 Q4
36,3,186,ALFA ROMEO,147 1.9 JTD Q2
37,3,187,ALFA ROMEO,GT 1.9 JTD Q2
38,3,188,ALFA ROMEO,159 1.8 MPI DISTINCTIVE
39,3,189,ALFA ROMEO,159 1.8 MPI DISTINCTIVE PLUS
40,3,190,ALFA ROMEO,159 1.9 JTS DISTINCTIVE PLUS
41,3,191,ALFA ROMEO,159 1.9 JTD DISTINCTIVE PLUS
42,3,192,ALFA ROMEO,159 1.9 JTD DISTINCTIVE PLUS Q-TRONIC
43,3,193,ALFA ROMEO,159 3.2 V6 4x4 DISTINCTIVE PLUS
44,3,194,ALFA ROMEO,159 1.8 MPI DISTINCTIVE SPORTSWAGON
45,3,195,ALFA ROMEO,159 1.9 JTS DISTINCTIVE SPORTSWAGON
46,3,196,ALFA ROMEO,159 1.9 JTD DISTINCTIVE SPORTSWAGON
47,3,197,ALFA ROMEO,159 1.9 JTD DISTINCTIVE Q-TRONIC SPORTSW
48,3,198,ALFA ROMEO,159 1.8 MPI DISTINCTIVE PLUS SPORTSWAGON
49,3,199,ALFA ROMEO,159 1.9 JTS DISTINCTIVE PLUS SPORTSWAGO
50,3,200,ALFA ROMEO,159 1.9 JTD DISTINCTIVE PLUS SPORTSWAGON
51,3,201,ALFA ROMEO,159 1.9 JTD D.CTIVE PLUS Q-TRONIC SPORTS
52,3,202,ALFA ROMEO,147 1.6 5 KAPI BLACKLINE (105)
53,3,203,ALFA ROMEO,147 1.6 5 KAPI COLLEIZONE (105)
54,3,204,ALFA ROMEO,BRERA 2.2 JTS SELESPEED
55,3,205,ALFA ROMEO,BRERA 3.2 V6 Q4 Q-TRONIC
56,3,206,ALFA ROMEO,SPIDER 2.2 JTS SELESPEED
57,3,207,ALFA ROMEO,SPIDER 3.2 V6 Q4 Q-TRONIC
58,3,208,ALFA ROMEO,MITO 1.4 (78) JUNIOR 3 KAPI
59,3,209,ALFA ROMEO,MITO 1.4 TB (155) PROGRESSION 3 KAPI
60,3,210,ALFA ROMEO,MITO 1.4 TB (155) DISTINCTIVE 3 KAPI
61,3,211,ALFA ROMEO,MITO 1.6 JTD (120) PROGRESSION 3 KAPI
62,3,212,ALFA ROMEO,MITO 1.6 JTD (120) DISTINCTIVE 3 KAPI
63,3,213,ALFA ROMEO,159 1.9 JTD (150) NEW DISTINCTIVE PLUS
64,3,214,ALFA ROMEO,159 1.9 JTD (150) NEW D.TIVE PLUS Q-TRON
65,3,215,ALFA ROMEO,159 1.8 TBI (200) NEW DISTINCTIVE PLUS
66,3,216,ALFA ROMEO,MITO 1.4 TB MULTIAIR 170 QUAD.VERDE 3K
67,3,217,ALFA ROMEO,GIULIETTA 1.4 TB 120 PROGRESSION PLUS
68,3,218,ALFA ROMEO,GIULIETTA 1.4 TB 120 DISTINCTIVE
69,3,219,ALFA ROMEO,GIULIETTA 1.4 TB MULTIAIR 170 DISTINCTIVE
70,3,220,ALFA ROMEO,GIULIETTA 1.6 JTD 105 PROGRESSION PLUS
71,3,221,ALFA ROMEO,GIULIETTA 1.6 JTD 105 DISTINCTIVE
72,3,222,ALFA ROMEO,GIULIETTA 1.750 TB 235 QUAGRIFOGLIO VERDE
73,3,223,ALFA ROMEO,MITO 1.4 TB MULTIAIR 135 DIS.TIVE TCT 3 K
74,3,224,ALFA ROMEO,MITO 1.4 TB MULTIAIR (135) TCT CITY
75,3,225,ALFA ROMEO,MITO 1.4 TB MULTIAIR (135) TCT SPORTIVO
76,3,226,ALFA ROMEO,MITO 1.4 TB MULTIAR (135) TCT
77,3,1001,ALFA ROMEO,GIULIETTA 1.4 TB M.AIR 170 TCT PROG.PLU
